year,# finalist for pulitzer only,# finalist for both,# finalist for nba only,shared winner
1984,2,1,2,0
1985,3,0,3,0
1986,1,2,1,0
1987,1,2,3,0
1988,1,1,4,0
1989,0,2,3,0
1990,3,0,5,0
1991,4,0,5,0
1992,3,0,5,0
1993,2,1,4,1
1994,2,1,4,0
1995,2,1,4,0
1996,2,1,4,0
1997,2,1,4,0
1998,3,0,5,0
1999,2,1,4,0
2000,2,1,4,0
2001,2,1,4,0
2002,2,1,4,0
2003,1,2,3,0
2004,3,0,5,0
2005,2,1,4,0
2006,2,1,4,0
2007,2,1,4,0
2008,3,0,5,0
2009,2,1,4,0
2010,3,0,5,0
2011,3,0,5,0
2012,3,0,5,0
2013,3,0,5,0
2014,3,1,4,0
2015,3,0,5,0
