year,category,prize,outcome,author,title
1984,fiction,nba,winner,Ellen Gilchrist,Victory over Japan: A Book of Stories
1984,fiction,nba,finalist,Alison Lurie,Foreign Affairs
1984,fiction,nba,finalist,Philip Roth,The Anatomy Lesson
1985,fiction,nba,winner,Don DeLillo,White Noise
1985,fiction,nba,finalist,Ursula K. Le Guin,Always Coming Home
1985,fiction,nba,finalist,Hugh Nissenson,The Tree of Life
1986,fiction,nba,winner,E.L. Doctorow,World's Fair
1986,fiction,nba,finalist,Norman Rush,Whites
1986,fiction,nba,finalist,Peter Taylor,A Summons to Memphis
1987,fiction,nba,winner,Larry Heinemann,Paco's Story
1987,fiction,nba,finalist,Alice McDermott,That Night
1987,fiction,nba,finalist,Toni Morrison,Beloved
1987,fiction,nba,finalist,Howard Norman,The Northern Lights
1987,fiction,nba,finalist,Philip Roth,The Counterlife
1988,fiction,nba,winner,Pete Dexter,Paris Trout
1988,fiction,nba,finalist,Don DeLillo,Libra
1988,fiction,nba,finalist,Mary McGarry Morris,Vanished
1988,fiction,nba,finalist,James F. Powers,Wheat That Springeth Green
1988,fiction,nba,finalist,Anne Tyler,Breathing Lessons
1989,fiction,nba,winner,John Casey,Spartina
1989,fiction,nba,finalist,E.L. Doctorow,Billy Bathgate
1989,fiction,nba,finalist,Katherine Dunn,Geek Love
1989,fiction,nba,finalist,Oscar Hijuelos,The Mambo Kings Play Songs of Love
1989,fiction,nba,finalist,Amy Tan,The Joy Luck Club
1990,fiction,nba,winner,Charles Johnson,Middle Passage
1990,fiction,nba,finalist,Felipe Alfau,Chromos
1990,fiction,nba,finalist,Elena Castedo,Paradise
1990,fiction,nba,finalist,Jessica Hagedorn,Dogeaters
1990,fiction,nba,finalist,Joyce Carol Oates,"Because It Is Bitter, and Because It Is My Heart"
1991,fiction,nba,winner,Norman Rush,Mating
1991,fiction,nba,finalist,Louis Begley,Wartime Lies
1991,fiction,nba,finalist,Stephen Dixon,Frog
1991,fiction,nba,finalist,Stanley Elkin,The MacGuffin
1991,fiction,nba,finalist,Sandra Scofield,Beyond Deserving
1991,poetry,nba,winner,Philip Levine,What Work Is
1991,poetry,nba,finalist,Andrew Hudgins,The Never-Ending
1991,poetry,nba,finalist,Linda McCarriston,Eva-Mary
1991,poetry,nba,finalist,Adrienne Rich,An Atlas of the Difficult World: Poems 1988-1991
1991,poetry,nba,finalist,Marilyn Nelson Waniek,The Homeplace
1992,fiction,nba,winner,Cormac McCarthy,All the Pretty Horses
1992,fiction,nba,finalist,Dorothy Allison,Bastard out of Carolina
1992,fiction,nba,finalist,Cristina Garcia,Dreaming in Cuban
1992,fiction,nba,finalist,Edward P. Jones,Lost in the City
1992,fiction,nba,finalist,Robert Stone,Outerbridge Reach
1992,poetry,nba,winner,Mary Oliver,New and Selected Poems
1992,poetry,nba,finalist,Hayden Carruth,Collected Shorter Poems
1992,poetry,nba,finalist,Louise Glück,The Wild Iris
1992,poetry,nba,finalist,Susan Mitchell,Rapture
1992,poetry,nba,finalist,Gary Snyder,No Nature
1993,fiction,nba,winner,E. Annie Proulx,The Shipping News
1993,fiction,nba,finalist,Amy Bloom,Come to Me
1993,fiction,nba,finalist,Thom Jones,The Pugilist at Rest
1993,fiction,nba,finalist,Richard Powers,Operation Wandering Soul
1993,fiction,nba,finalist,Bob Shacochis,Swimming in the Volcano
1993,poetry,nba,winner,A.R. Ammons,Garbage
1993,poetry,nba,finalist,Mark Doty,My Alexandria
1993,poetry,nba,finalist,Margaret Gibson,The Vigil: A Poem in Four Voices
1993,poetry,nba,finalist,Donald Hall,The Museum of Clear Ideas
1993,poetry,nba,finalist,Lawrence Raab,What We Don't Know About Each Other
1994,fiction,nba,winner,William Gaddis,A Frolic of His Own
1994,fiction,nba,finalist,Ellen Currie,Moses Supposes
1994,fiction,nba,finalist,Richard Dooling,White Man's Grave
1994,fiction,nba,finalist,Howard Norman,The Bird Artist
1994,fiction,nba,finalist,Grace Paley,The Collected Stories
1994,poetry,nba,winner,James Tate,A Worshipful Company of Fletchers
1994,poetry,nba,finalist,Richard Howard,Like Most Revelations
1994,poetry,nba,finalist,Heather McHugh,"Hinge and Sign: Poems, 1968-1993"
1994,poetry,nba,finalist,Anne Porter,An Altogether Different Language
1994,poetry,nba,finalist,David St. John,A Study for the World's Body
1995,fiction,nba,winner,Philip Roth,Sabbath's Theater
1995,fiction,nba,finalist,Madison Smartt Bell,All Souls' Rising
