year,category,prize,outcome,author,title,gender
2006,fiction,pulitzer,finalist,Alice McDermott,After This,F
2006,fiction,pulitzer,finalist,Richard Powers,The Echo Maker,M
1984,fiction,pulitzer,finalist,Diana O'Hehir,I Wish This War Were Over,F
1984,fiction,pulitzer,finalist,Douglas Unger,Leaving the Land,M
1985,fiction,pulitzer,finalist,Russell Banks,Continental Drift,M
1985,fiction,pulitzer,finalist,Anne Tyler,The Accidental Tourist,F
1986,fiction,pulitzer,finalist,Donald Barthelme,Paradise,M
1986,fiction,pulitzer,finalist,Norman Rush,Whites,M
1987,fiction,pulitzer,finalist,Diane Johnson,Persian Nights,F
1987,fiction,pulitzer,finalist,Alice McDermott,That Night,F
1988,fiction,pulitzer,finalist,Raymond Carver,Where I'm Calling From,M
1989,fiction,pulitzer,finalist,E.L. Doctorow,Billy Bathgate,M
1990,fiction,pulitzer,finalist,Linda Hogan,Mean Spirit,F
1990,fiction,pulitzer,finalist,Tim O'Brien,The Things They Carried,M
1991,fiction,pulitzer,finalist,Don DeLillo,Mao II,M
1991,fiction,pulitzer,finalist,David Gates,Jernigan,M
1991,fiction,pulitzer,finalist,Robert M. Pirsig,Lila: An Inquiry into Morals,M
1992,fiction,pulitzer,finalist,Alice McDermott,At Weddings and Wakes,F
1992,fiction,pulitzer,finalist,Joyce Carol Oates,Black Water,F
1993,fiction,pulitzer,finalist,Reynolds Price,The Collected Stories,M
1993,fiction,pulitzer,finalist,Philip Roth,Operation Shylock: A Confession,M
1994,fiction,pulitzer,finalist,Joyce Carol Oates,What I Lived For,F
1994,fiction,pulitzer,finalist,Grace Paley,The Collected Stories,F
1995,fiction,pulitzer,finalist,Oscar Hijuelos,Mr. Ives' Christmas,M
1995,fiction,pulitzer,finalist,Philip Roth,Sabbath's Theater,M
1996,fiction,pulitzer,finalist,Ursula K. LeGuin,Unlocking the Air and Other Stories,F
1996,fiction,pulitzer,finalist,Joanna Scott,The Manikin,F
1997,fiction,pulitzer,finalist,Don DeLillo,Underworld,M
1997,fiction,pulitzer,finalist,Robert Stone,Bear and His Daughter: Stories,M
1998,fiction,pulitzer,finalist,Russell Banks,Cloudsplitter,M
1998,fiction,pulitzer,finalist,Barbara Kingsolver,The Poisonwood Bible,F
1999,fiction,pulitzer,finalist,Annie Proulx,Close Range: Wyoming Stories,F
1999,fiction,pulitzer,finalist,Ha Jin,Waiting,M
2000,fiction,pulitzer,finalist,Joyce Carol Oates,Blonde,F
2000,fiction,pulitzer,finalist,Joy Williams,The Quick and the Dead,F
2001,fiction,pulitzer,finalist,Jonathan Franzen,The Corrections,M
2001,fiction,pulitzer,finalist,Colson Whitehead,John Henry Days,M
2002,fiction,pulitzer,finalist,Andrea Barrett,Servants of the Map: Stories,F
2002,fiction,pulitzer,finalist,Adam Haslett,You Are Not a Stranger Here,M
2003,fiction,pulitzer,finalist,Susan Choi,American Woman,F
2003,fiction,pulitzer,finalist,Marianne Wiggins,Evidence of Things Unseen: A Novel,F
2004,fiction,pulitzer,finalist,Ha Jin,War Trash,M
2004,fiction,pulitzer,finalist,Ward Just,An Unfinished Season,M
2005,fiction,pulitzer,finalist,E.L. Doctorow,The March,M
2005,fiction,pulitzer,finalist,Lee Martin,The Bright Forever,M
2007,fiction,pulitzer,finalist,Denis Johnson,Tree of Smoke,M
2007,fiction,pulitzer,finalist,Lore Segal,Shakespeare's Kitchen,F
2008,fiction,pulitzer,finalist,Louise Erdrich,The Plague of Doves,F
2008,fiction,pulitzer,finalist,Christine Schutt,All Souls,F
2009,fiction,pulitzer,finalist,Lydia Millet,Love in Infant Monkeys,F
2009,fiction,pulitzer,finalist,Daniyal Mueenuddin,"In Other Rooms, Other Wonders",M
2010,fiction,pulitzer,finalist,Jonathan Dee,The Privileges,M
2010,fiction,pulitzer,finalist,Chang-rae Lee,The Surrendered,M
2011,fiction,pulitzer,finalist,Denis Johnson,Train Dreams,M
2011,fiction,pulitzer,finalist,Karen Russell,Swamplandia!,F
2011,fiction,pulitzer,finalist,David Foster Wallace,The Pale King,M
2012,fiction,pulitzer,finalist,Nathan Englander,What We Talk About When We Talk About Anne Frank,M
2012,fiction,pulitzer,finalist,Eowyn Ivey,The Snow Child,F
2013,fiction,pulitzer,finalist,Philipp Meyer,The Son,M
2013,fiction,pulitzer,finalist,Bob Shacochis,The Woman Who Lost Her Soul,M
2014,fiction,pulitzer,finalist,Richard Ford,Let Me Be Frank With You,M
2014,fiction,pulitzer,finalist,Laila Lalami,The Moor's Account,F
2014,fiction,pulitzer,finalist,Joyce Carol Oates,"Lovely, Dark, Deep",F
2015,fiction,pulitzer,finalist,Kelly Link,Get in Trouble: Stories,F
2015,fiction,pulitzer,finalist,Margaret Verble,Maud's Line,F
2015,fiction,pulitzer,winner,Viet Thanh Nguyen,The Sympathizer,M
2014,fiction,pulitzer,winner,Anthony Doerr,All the Light We Cannot See,M
2013,fiction,pulitzer,winner,Donna Tartt,The Goldfinch,F
2012,fiction,pulitzer,winner,Adam Johnson,The Orphan Master's Son,M
2010,fiction,pulitzer,winner,Jennifer Egan,A Visit from the Goon Squad,F
2009,fiction,pulitzer,winner,Paul Harding,Tinkers,M
2008,fiction,pulitzer,winner,Elizabeth Strout,Olive Kitteridge,F
2007,fiction,pulitzer,winner,Junot Diaz,The Brief Wondrous Life of Oscar Wao,M
2006,fiction,pulitzer,winner,Cormac McCarthy,The Road,M
2005,fiction,pulitzer,winner,Geraldine Brooks,March,F
2004,fiction,pulitzer,winner,Marilynne Robinson,Gilead,F
2003,fiction,pulitzer,winner,Edward P. Jones,The Known World,M
2002,fiction,pulitzer,winner,Jeffrey Eugenides,Middlesex,M
2001,fiction,pulitzer,winner,Richard Russo,Empire Falls,M
