year,category,prize,outcome,author,title
1991,poetry,pulitzer,finalist,Robert Creeley,Selected Poems
1991,poetry,pulitzer,finalist,Adrienne Rich,An Atlas of the Difficult World
1992,poetry,pulitzer,finalist,John Ashbery,Hotel Lautreamont
1992,poetry,pulitzer,finalist,James Merrill,Selected Poems 1946-1985
1993,poetry,pulitzer,finalist,Brenda Hillman,Bright Existence
1993,poetry,pulitzer,finalist,Allen Mandelbaum,The Metamorphoses of Ovid
1994,poetry,pulitzer,finalist,Allen Ginsberg,Cosmopolitan Greetings: Poems 1986-1992
1994,poetry,pulitzer,finalist,Kenneth Koch,On The Great Atlantic Rainway: Selected Poems 1950-1988 and One Train
1995,poetry,pulitzer,finalist,Donald Justice,New and Selected Poems
1995,poetry,pulitzer,finalist,Charles Wright,Chickamauga
1996,poetry,pulitzer,finalist,Robert Pinsky,The Figured Wheel
1996,poetry,pulitzer,finalist,Laurie Sheck,The Willow Grove
1997,poetry,pulitzer,finalist,Frank Bidart,Desire
1997,poetry,pulitzer,finalist,C.K. Williams,The Vigil
1998,poetry,pulitzer,finalist,Alice Notley,Mysteries of Small Houses
1998,poetry,pulitzer,finalist,Frederick Seidel,Going Fast
1999,poetry,pulitzer,finalist,Rodney Jones,Elegy for the Southern Drawl
1999,poetry,pulitzer,finalist,Adrienne Rich,Midnight Salvage: Poems 1995-1998
2000,poetry,pulitzer,finalist,Sydney Lea,Pursuit of a Wound
2000,poetry,pulitzer,finalist,Bruce Smith,The Other Lover
2001,poetry,pulitzer,finalist,Louise Gluck,The Seven Ages
2001,poetry,pulitzer,finalist,Franz Wright,The Beforelife
2002,poetry,pulitzer,finalist,Frank Bidart,Music Like Dirt
2002,poetry,pulitzer,finalist,J.D. McClatchy,Hazmat
2003,poetry,pulitzer,finalist,Henri Cole,Middle Earth
2003,poetry,pulitzer,finalist,Heather McHugh,Eyeshot
2004,poetry,pulitzer,finalist,Brigit Pegeen Kelly,The Orchard
2004,poetry,pulitzer,finalist,William Matthews,Search Party: Collected Poems
2005,poetry,pulitzer,finalist,Elizabeth Alexander,American Sublime
2005,poetry,pulitzer,finalist,Dean Young,Elegy on Toy Piano
2006,poetry,pulitzer,finalist,Martin Espada,The Republic of Poetry
2006,poetry,pulitzer,finalist,David Wojahn,Interrogation Palace: New & Selected Poems 1982-2004
2007,poetry,pulitzer,finalist,Ellen Bryant Voigt,"Messenger: New and Selected Poems, 1976-2006"
