name,gender,ratio,females,males,total
Davontre,M,100,0,46,46
Mythias,M,100,0,51,51
Graven,M,100,0,5,5
Aleksandr,M,100,0,1117,1117
Ellasophia,F,100,5,0,5
Eriyah,F,100,46,0,46
Kate,F,100,60740,77,60817
Dinora,F,100,730,0,730
Jode,F,85,146,25,171
Caspian,M,100,0,509,509
Cassiana,F,100,33,0,33
Qadree,M,100,0,24,24
Zaory,F,100,6,0,6
Elimelech,M,100,0,727,727
Knoelle,F,100,22,0,22
Belkis,F,100,381,0,381
Alinda,F,100,413,0,413
Vincetta,F,100,11,0,11
Landen,M,99,162,20889,21051
Nilay,M,98,5,207,212
Ruth,F,100,143880,490,144370
Ashanti,F,94,11135,756,11891
Ivyona,F,100,30,0,30
Perris,M,62,107,174,281
Bahiyah,F,100,6,0,6
Pong,M,100,0,21,21
Lameria,F,100,15,0,15
Ganiya,F,100,25,0,25
Kingmichael,M,100,0,7,7
Omiyah,F,100,11,0,11
Arlander,M,100,0,41,41
Shaniki,F,100,5,0,5
Reshia,F,100,5,0,5
Tyres,M,100,0,45,45
Omara,F,100,179,0,179
Jamesryan,M,100,0,23,23
Lois,F,99,55835,370,56205
Sybrena,F,100,5,0,5
Daler,M,100,0,11,11
Baya,F,100,280,0,280
Jovone,M,100,0,5,5
Joyclyn,F,100,75,0,75
Adrainne,F,100,13,0,13
Taritha,F,100,5,0,5
Jamese,F,100,748,0,748
Kialee,F,100,78,0,78
Lycia,F,100,71,0,71
Wryder,M,100,0,18,18
Kateisha,F,100,26,0,26
Crisanto,M,100,0,186,186
Darrean,F,53,18,16,34
Kemarah,F,100,8,0,8
Natally,F,100,389,0,389
Danae,F,100,6300,6,6306
Ensign,M,100,0,5,5
Kimimila,F,100,77,0,77
Donnise,F,100,44,0,44
Gissel,F,100,2307,0,2307
Melba,F,100,6564,0,6564
Arsha,F,77,33,10,43
Fenley,F,100,5,0,5
Alita,F,100,1345,0,1345
Joshaun,M,100,0,56,56
Kendrika,F,100,6,0,6
Nanayaa,F,100,41,0,41
Maurisio,M,100,0,310,310
Kamiya,F,100,1894,0,1894
Nyjae,F,100,168,0,168
Amalya,F,100,214,0,214
Tika,F,100,348,0,348
Dorrine,F,100,138,0,138
Demis,M,100,0,10,10
Najon,M,100,0,10,10
Mariaangela,F,100,7,0,7
Sicely,F,100,13,0,13
Marveen,F,100,5,0,5
Lindsley,F,50,15,15,30
Lamart,M,100,0,56,56
Joesiah,M,100,0,334,334
Paras,M,100,0,260,260
Yabriel,M,100,0,5,5
Adrin,M,96,12,288,300
Marvelous,M,75,39,117,156
Starlyn,F,100,613,0,613
Dareen,F,97,297,10,307
Miri,F,100,465,0,465
Laurianna,F,100,24,0,24
Shlomie,M,100,0,107,107
Jasminda,F,100,11,0,11
Leibish,M,100,0,78,78
Lexiee,F,100,5,0,5
Livy,F,100,123,0,123
Bronnie,M,100,0,8,8
Bradan,M,100,0,402,402
Jubei,M,100,0,34,34
Harwood,M,100,0,37,37
Omri,M,98,10,519,529
Tomeco,F,100,21,0,21
Geetha,F,100,23,0,23
Tyndall,F,100,5,0,5
Dkota,M,100,0,5,5
Rotem,F,89,42,5,47
Marisia,F,100,29,0,29
Simitrio,M,100,0,5,5
Haylo,F,100,66,0,66
Peggy,F,100,136360,312,136672
Kamarah,F,100,139,0,139
Leannie,F,100,36,0,36
Devoe,M,100,0,14,14
Roderica,F,100,135,0,135
Francita,F,100,6,0,6
Nadirah,F,100,802,0,802
Maryori,F,100,83,0,83
Jema,F,100,265,0,265
Mashad,M,100,0,6,6
Jayzeon,M,100,0,16,16
Jantel,F,100,5,0,5
Abilyn,F,100,5,0,5
Jeryka,F,100,5,0,5
Asley,F,100,605,0,605
Naysa,F,100,331,0,331
Rodrika,F,100,6,0,6
Flip,M,100,0,5,5
Allyria,F,100,11,0,11
Jissele,F,100,11,0,11
Sarait,F,100,5,0,5
Ashan,M,100,0,130,130
Yarilis,F,100,13,0,13
Breeley,F,100,85,0,85
Militza,F,100,77,0,77
Tashina,F,100,1758,0,1758
Veralynn,F,100,29,0,29
Dolton,M,100,0,253,253
Ciyanna,F,100,22,0,22
Charlsa,F,100,5,0,5
Demeco,M,100,0,65,65
Jeloni,M,100,0,12,12
Caine,M,100,0,1369,1369
Latifah,F,100,1414,0,1414
Lakitta,F,100,20,0,20
Kundana,F,100,5,0,5
Breanne,F,100,10079,0,10079
Margarite,F,100,560,0,560
Keny,M,98,5,203,208
Yaditzel,F,100,6,0,6
Ireion,F,100,6,0,6
Kuwanda,F,100,5,0,5
Ulice,M,100,0,10,10
Timira,F,100,63,0,63
Jakyri,M,100,0,93,93
Deirore,F,100,5,0,5
Deepa,F,100,478,0,478
Milanie,F,100,65,0,65
Brax,M,100,0,125,125
Kennysha,F,100,6,0,6
Estrellita,F,100,957,0,957
Kamirra,F,100,51,0,51
Allisha,F,100,865,0,865
Kayjuan,M,100,0,5,5
Kellyann,F,100,1805,0,1805
Franisco,M,100,0,26,26
Verdell,M,55,568,704,1272
Quontez,M,100,0,12,12
Kearston,F,99,417,6,423
Jeffery,M,99,1189,222663,223852
Dawneisha,F,100,5,0,5
Ulonda,F,100,176,0,176
Lindzy,F,100,204,0,204
